,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Lat,Lon
286,09:05,MIA,MEX,22:06,1662,25.795814,-80.28716899999999
287,09:05,MUC,MEX,07:20,3099,48.353598,11.775135
288,09:05,SFO,MEX,20:26,1712,37.621313,-122.37898799999999
289,09:05,YUL,MEX,20:42,570,45.46561,-73.745299
290,09:05,YYZ,MEX,21:50,396,43.677764,-79.62495899999999
291,09:40,DEN,MEX,17:57,1151,39.856121,-104.673641
292,09:40,EWR,MEX,20:53,1106,40.689588,-74.17443
293,09:40,LAS,MEX,20:12,1191,36.084026,-115.15388899999999
294,09:40,LGA,MEX,18:49,402,40.777065,-73.873987
295,09:40,MCO,MEX,19:51,266,28.431205,-81.308008
296,09:40,MIA,MEX,23:59,1139,25.795814,-80.28716899999999
297,09:40,MUC,MEX,07:40,3099,48.353598,11.775135
298,09:40,SFO,MEX,19:55,1262,37.621313,-122.37898799999999
299,09:40,YUL,MEX,23:59,434,45.46561,-73.745299
300,10:05,DEN,MEX,17:57,255,39.856121,-104.673641
301,10:05,LAS,MEX,21:02,249,36.084026,-115.15388899999999
302,10:05,LAX,MEX,17:06,332,33.941562,-118.40841200000001
303,10:05,LGA,MEX,19:12,402,40.777065,-73.873987
304,10:05,MCO,MEX,17:50,143,28.431205,-81.308008
305,10:05,SFO,MEX,19:04,483,37.621313,-122.37898799999999
306,11:00,DEN,MEX,21:01,1783,39.856121,-104.673641
307,11:00,MCO,MEX,22:28,1681,28.431205,-81.308008
308,11:00,MIA,MEX,23:59,1662,25.795814,-80.28716899999999
309,11:00,MUC,MEX,10:25,3099,48.353598,11.775135
310,11:00,SFO,MEX,22:35,1712,37.621313,-122.37898799999999
311,11:00,YYZ,MEX,21:50,285,43.677764,-79.62495899999999
312,12:05,DEN,MEX,17:57,743,39.856121,-104.673641
313,12:05,LAS,MEX,21:02,374,36.084026,-115.15388899999999
314,12:05,LAX,MEX,19:45,332,33.941562,-118.40841200000001
315,12:05,MCO,MEX,19:34,201,28.431205,-81.308008
316,12:05,SFO,MEX,20:43,483,37.621313,-122.37898799999999
317,13:50,LAS,MEX,21:45,249,36.084026,-115.15388899999999
318,13:55,EWR,MEX,19:40,396,40.689588,-74.17443
319,13:55,MUC,MEX,07:20,3099,48.353598,11.775135
320,14:40,LAS,MEX,23:11,1228,36.084026,-115.15388899999999
321,14:40,MUC,MEX,09:35,3099,48.353598,11.775135
322,14:40,SFO,MEX,23:51,1232,37.621313,-122.37898799999999
323,14:40,YUL,MEX,09:16,434,45.46561,-73.745299
324,14:40,YYZ,MEX,23:49,337,43.677764,-79.62495899999999
325,15:05,LAS,MEX,23:17,1214,36.084026,-115.15388899999999
326,15:05,MCO,MEX,22:57,647,28.431205,-81.308008
327,15:05,MIA,MEX,23:29,1202,25.795814,-80.28716899999999
328,15:05,SFO,MEX,23:50,795,37.621313,-122.37898799999999
329,17:35,LAS,MEX,09:16,550,36.084026,-115.15388899999999
330,17:35,MUC,MEX,09:45,3099,48.353598,11.775135
331,17:35,YUL,MEX,13:00,374,45.46561,-73.745299
332,17:35,YYZ,MEX,11:54,547,43.677764,-79.62495899999999
